,THING_ID,RA,DEC,Z_VI,BAL_FLAG_VI
114803,326809096,160.0151108338314,24.781400936042125,3.0521786212921143,0
114804,380007046,160.0151885984506,31.37405320083231,1.2333998680114746,0
114808,386024421,160.0167461277398,32.36403767327336,2.6241302490234375,0
114813,427040031,160.01854253019025,38.908357726445104,2.5250473022460938,0
114824,365551416,160.02479617785684,29.375729869607593,1.213,0
114826,341327891,160.02572489804615,26.43080298297977,0.8605388402938843,0
114832,429710192,160.02894250300025,39.32607325128879,3.419981002807617,0
114833,349961157,160.02907839029916,27.61847219717128,2.9357831478118896,0
114845,310316512,160.03217632180582,22.89475101248592,2.938,0
114850,348256567,160.03280874313373,27.36833765318267,1.4887028932571411,0
114852,392918008,160.03356942196388,33.43456913361331,2.479076862335205,0
114856,312290239,160.03538842067462,23.000687333015684,2.7044894695281982,0
114860,308614946,160.03652714087198,22.548605188184432,2.499,0
114863,367200224,160.0382044423058,29.67607824006975,2.607,0
114864,397272968,160.04077443208814,34.03570581207007,2.3308300971984863,0
114867,287479628,160.0424791046517,20.011814647888954,2.27,0
114871,299776082,160.04390467531135,21.57820822283219,0.686803936958313,0
114880,348256618,160.04680786944758,27.39363691922205,2.553,0
114888,341327907,160.0540818740261,26.47620975117965,1.6927037239074707,0
114891,401423269,160.05483846228756,34.75539132002777,2.284270763397217,0
114892,341327909,160.05485096959862,26.48054862280825,1.7034780979156494,0
114895,321215129,160.05568707860718,24.1664691956354,2.9458398818969727,0
114905,321215009,160.05903293021694,24.033428290327848,1.597538948059082,0
